id,documento
1,O sol brilha sobre as montanhas geladas. </b> O processo de limpeza de dados é fundamental.???
2,"Praticar esportes melhora a saúde do coração       . <b> Modelos de linguagem natural são sensíveis a ruídos.,,,"
3,"Estudar

Python é um excelente investimento. &lt;div&gt; Tecnologia e inovação caminham juntas no Brasil.!!!"
4,Café fresco ajuda na concentração matinal       . &lt;br&gt; O processo de limpeza de dados é fundamental.???
5,Praticar esportes melhora a saúde do coração. &quot; O sol brilha sobre as montanhas geladas.???
6,"Modelos
de linguagem natural são sensíveis a ruídos  . &lt;div&gt; Café fresco ajuda na concentração matinal.,,,"
7,A biodiversidade da Amazônia é inestimável. &lt;br&gt; Praticar esportes melhora a saúde do coração.???
8,A normalização remove caracteres indesejados       . &lt;br&gt; A normalização remove caracteres indesejados.....
9,"Estudar
Python é um excelente investimento. &quot; O sol brilha sobre as montanhas geladas.???"
10,"A análise de sentimentos requer textos padronizados  . &amp; Estudar Python é um excelente investimento.,,,"
11,"Estudar Python é um excelente investimento. <span> Modelos de linguagem natural são sensíveis a ruídos.,,,"
12,"A
análise de sentimentos requer textos padronizados  . <b> Modelos de linguagem natural são sensíveis a ruídos....."
13,"Modelos de linguagem natural são sensíveis a ruídos. <b> A biodiversidade da Amazônia é inestimável.,,,"
14,Tecnologia e inovação caminham juntas no Brasil    . &oacute; A biodiversidade da Amazônia é inestimável.!!!
15,"A

biodiversidade da Amazônia é inestimável. &quot; A biodiversidade da Amazônia é inestimável.!!!"
16,Modelos de linguagem natural são sensíveis a ruídos    . </b> A normalização remove caracteres indesejados.!!!
17,O processo de limpeza de dados é fundamental. &quot; Café fresco ajuda na concentração matinal.!!!
18,"Tecnologia

e inovação caminham juntas no Brasil    . &amp; O sol brilha sobre as montanhas geladas....."
19,"O processo de limpeza de dados é fundamental. </b> Tecnologia e inovação caminham juntas no Brasil.,,,"
20,O sol brilha sobre as montanhas geladas       . &quot; A análise de sentimentos requer textos padronizados.!!!
21,"Modelos

de linguagem natural são sensíveis a ruídos. &amp; Café fresco ajuda na concentração matinal.!!!"
22,"Café fresco ajuda na concentração matinal    . &lt;br&gt; Modelos de linguagem natural são sensíveis a ruídos.,,,"
23,Modelos de linguagem natural são sensíveis a ruídos. &lt;br&gt; A biodiversidade da Amazônia é inestimável.!!!
24,"O

processo de limpeza de dados é fundamental       . <span> Praticar esportes melhora a saúde do coração.???"
25,A análise de sentimentos requer textos padronizados. </b> A análise de sentimentos requer textos padronizados.....
26,Estudar Python é um excelente investimento    . </b> A normalização remove caracteres indesejados.!!!
27,"Praticar

esportes melhora a saúde do coração. <span> Praticar esportes melhora a saúde do coração.!!!"
28,"Praticar esportes melhora a saúde do coração  . <b> Café fresco ajuda na concentração matinal.,,,"
29,Café fresco ajuda na concentração matinal. &quot; O processo de limpeza de dados é fundamental.....
30,"Café
fresco ajuda na concentração matinal    . &oacute; Praticar esportes melhora a saúde do coração.,,,"
